comment_id,language,club,player,comment,comment_de
FR_0066,FR,staderennesfc,Ludovic Blas,"semi hold up, tellement frustrant cet autisme du 343 qui ne marche tellement  pas... garder truffert et blas alors qu ils sont pas dedans c est dingue.... merci aux entrants . mais mettre Gronbaek remplaçant ici et  a paris c est tellement maladroit et ideal pour le frustrer.... vivement un coach qui maitrisera le management en tt cas. ""Pour l institution""  vous nous gacher 7  ans de super taf, M.Stephan dslé de vous adorer pour le passé mais plus pour cette annee que vous nous faites vivre... 😢","Semi hold up, so frustrierend dieses Autism des 343, das einfach nicht funktioniert... Truffert und Blas dranzubehalten, obwohl sie nicht im Spiel sind, ist verrückt... Danke an die Einwechselspieler. Aber Gronbaek hier und in Paris auf die Bank zu setzen, ist so ungeschickt und perfekt, um ihn zu frustrieren... Ich freue mich auf einen Trainer, der das Management beherrscht. ""Für die Institution"" vergeudet ihr uns 7 Jahre großartige Arbeit, M. Stephan, tut mir leid, dass ich Sie für die Vergangenheit bewundere, aber nicht mehr für dieses Jahr, das Sie uns erleben lassen... 😢"
ES_0006,ES,realsociedad,Alex Remiro,@alexremiro1 👏👏👏👏👏,@alexremiro1 👏👏👏👏👏
ES_0154,ES,realsociedad,Takefusa Kubo,"It seems that Kubo is becoming a player who doesn't have a presence in Real Sociedad. The media criticized Kubo's performance, but the Japanese football fans were very angry🤔🤔🤔🤷🤷🤷🇯🇵🇯🇵🇯🇵","Es scheint, dass Kubo ein Spieler wird, der in der Real Sociedad keine Präsenz hat. Die Medien kritisierten Kubos Leistung, aber die japanischen Fußballfans waren sehr wütend🤔🤔🤔🤷🤷🤷🇯🇵🇯🇵🇯🇵"
EN_0147,EN,avfc,Ollie Watkins,"Final ball absolutely awful, Bailey Rogers Watkins well off it. They were there for the taking","Der letzte Ball war absolut schrecklich, Bailey, Rogers, Watkins waren weit davon entfernt. Sie waren zum Greifen nah."
EN_0082,EN,arsenal,Declan Rice,Yeah this collab is coldddd! 🥶 but price is abit mad 🤕,"Ja, diese Kollaboration ist mega geil! 🥶 Aber der Preis ist ein bisschen verrückt 🤕"
EN_0136,EN,avfc,Youri Tielemans,"Who voted for this? We were at the game. All of us said it was by far his worst performance of the season so far, but he's started so well, it could be forgiven. Tielemans was brilliant, but Barkley changed the game and he's why we won it.","Wer hat dafür gestimmt? Wir waren beim Spiel. Alle von uns haben gesagt, es war bis jetzt seine schlechteste Leistung der Saison, aber er hat so gut angefangen, das könnte man ihm verzeihen. Tielemans war brillant, aber Barkley hat das Spiel verändert und er ist der Grund, warum wir gewonnen haben."
DE_0140,DE,fch,Paul Wanner,Wann kommt das Wanner Trikot?,Wann kommt das Wanner Trikot?
FR_0083,FR,staderennesfc,Adrien Truffert,À quel moment tu fais jouer Truffert au milieu alors que déjà latéral il est bien moyen,"Wann bringst du Truffert im Mittelfeld, wenn er schon als Außenverteidiger eher mittelmäßig ist?"
DE_0116,DE,bvb,Emre Can,@allecanhater !!!!!!,@allecanhater !!!!!!
DE_0063,DE,vfb,Alexander Nübel,Ehrlich? Er hat schon mal besser gespielt 🤷🏻‍♂️ Nübel hat den Sieg fest gemacht 👏,Ehrlich? Er hat schon mal besser gespielt 🤷🏻‍♂️ Nübel hat den Sieg fest gemacht 👏
DE_0065,DE,fch,Niklas Dorsch,"Der Verlorene Sohn ist zurück & es zeigt welche Strahlkraft, man genießt... Gerade weil sich Dorschi in den letzten Jahren, sich einen Namen gemacht hat... Viel Glück & Erfolg auf der Ostalb.","Der Verlorene Sohn ist zurück & es zeigt welche Strahlkraft, man genießt... Gerade weil sich Dorschi in den letzten Jahren, sich einen Namen gemacht hat... Viel Glück & Erfolg auf der Ostalb."
EN_0191,EN,liverpoolfc,Curtis Jones,At least 3 hopeless shots from outside the box from jones guaranteed,Mindestens 3 hoffnungslose Schüsse aus der Distanz von Jones garantiert.
ES_0169,ES,realsociedad,Mikel Oyarzabal,Oyarzabal en banda es otro futbolista IMANOL!!!!! 😡🤬,Oyarzabal auf der Bande ist ein anderer Fußballer IMANOL!!!!! 😡🤬
EN_0131,EN,liverpoolfc,Curtis Jones,"That second half was bloody awful. Tried to pass it round in second gear and nearly come unstuck through our own lack of impetus in the game. Over played it far too much especially in the final third. Why play a 1-2  when you can have  6 touches and pass backwards.. 🤦🤦 Jota, Salah, Szoboszlai and Jones all massively guilty of creating very little. A win is a win tho  but we're fortunate it wasn't 1-1","Die zweite Halbzeit war verdammt schrecklich. Wir haben versucht, im zweiten Gang den Ball hin und her zu passen und sind fast durch unser eigenes mangelndes Drängen im Spiel ins Straucheln geraten. Wir haben viel zu übertrieben, besonders im letzten Drittel. Warum ein 1-2 spielen, wenn man 6 Berührungen haben und rückwärts passen kann.. 🤦🤦 Jota, Salah, Szoboszlai und Jones sind alle massiv schuldig daran, sehr wenig zu kreieren. Ein Sieg ist ein Sieg, aber wir hatten Glück, dass es nicht 1-1 ausgegangen ist."
FR_0014,FR,rclens,Andy Diouf,Mérité continue @diouf_andy on sera la pour te pousser,"Verdient, weiter so @diouf_andy, wir werden da sein, um dich zu unterstützen!"
DE_0138,DE,vfb,Enzo Millot,Wieso sollten Millot oder Hoeneß zum BVB wechseln?😂 Wäre ja ein Abstieg😂,Wieso sollten Millot oder Hoeneß zum BVB wechseln?😂 Wäre ja ein Abstieg😂
FR_0039,FR,lille,Alexsandro,"Resenha é com eles msm,não perdeu a essência @alexsandroribeirojr_ kkkkkkk","Resenha ist wirklich mit ihnen, sie haben die Essenz nicht verloren @alexsandroribeirojr_ kkkkkkk"
FR_0067,FR,staderennesfc,Christopher Wooh,Wooh va aider à faire virer Stéphan aller un but contre ton camp et c'est bon,"Wooh wird helfen, Stéphan dazu zu bringen, ein Eigentor zu schießen, und das ist gut."
DE_0082,DE,bayer04,Victor Boniface,If no be boniface I no go deal,If no be boniface I no go deal
EN_0001,EN,fcchelsea,Joao Felix,"you can’t have lavia and Nkuku on the bench in a must win match bro that was risky, Madueke was effortlessly selfish. You play Madueke when you have Felix on the bench? That seems like a very expensive joke","Du kannst Lavia und Nkunku nicht auf der Bank haben in einem Pflichtspiel, Bro, das war riskant. Madueke war mühelos egoistisch. Du spielst Madueke, während du Felix auf der Bank hast? Das scheint ein sehr teurer Scherz zu sein."
ES_0126,ES,realsociedad,Igor Zubeldia,Hoy por hoy Pacheco es más que zubeldia 😂,Heute ist Pacheco mehr als Zubeldía 😂
FR_0030,FR,staderennesfc,Ludovic Blas,"Mosieur le CM , on en parle de la Bronca ???? 🔥🔥 on peut faire un post sur les stats de Blas et Kalimuendo aussi svp","Monsieur der CM, sprechen wir über die Bronca ???? 🔥🔥 Können wir bitte einen Post über die Statistiken von Blas und Kalimuendo machen?"
EN_0119,EN,liverpoolfc,Luis Diaz,brilliant keeping.... to come in cold like that and do the full spectrum and even almost a pre-assist to Jota/Diaz.... 10/10 debut lad,"brillante Torwartleistung.... so kalt reinzukommen und das gesamte Spektrum zu zeigen und sogar fast eine Vorarbeit für Jota/Diaz zu leisten.... 10/10 Debüt, Junge"
EN_0192,EN,liverpoolfc,Curtis Jones,Jones rubish and useless,Jones ist Müll und nutzlos.
ES_0094,ES,realsociedad,Luka Sucic,@luka_sucic,@luka_sucic
DE_0084,DE,vfb,Jeff Chabot,Chabot hat Guirassy heute schlafen gelegt und zugedeckt,Chabot hat Guirassy heute schlafen gelegt und zugedeckt
EN_0062,EN,avfc,Ollie Watkins,O do watkins ficou braba,O do Watkins ist sauer geworden.
FR_0024,FR,lille,Jonathan David,jo david 🇨🇦🐐🇨🇦🐐,jo david 🇨🇦🐐🇨🇦🐐
DE_0019,DE,bayer04,Lukas Hradecky,Und Hradecky 🙌❤️🖤,Und Hradecky 🙌❤️🖤
ES_0109,ES,villarealcf,Pape Gueye,@iganagueye kayy kholl😂😂😂,@iganagueye kayy kholl😂😂😂
DE_0213,DE,vfb,Pascal Stenzel,Undav Katastrophe muss den Ball auf Millot oder Jamie spielen dann Laufen beide alleine auf das FREIBURGER Tor zu. Und ist mir zu schläfrig. Millot bemüht…Krätzig und Stenzel raus.,Undav Katastrophe muss den Ball auf Millot oder Jamie spielen dann Laufen beide alleine auf das FREIBURGER Tor zu. Und ist mir zu schläfrig. Millot bemüht…Krätzig und Stenzel raus.
EN_0078,EN,fcchelsea,Reece James,What about James?,Was ist mit James?
FR_0051,FR,staderennesfc,Glen Kamara,"J étais au stade... on assure l essentiel mais le match était vraiment pas terrible... à retenir, le bijou de gomez, kamara et faye tres bon, gomez et gronbaek intéressant ensemble sur quelques situations","Ich war im Stadion... wir haben das Wesentliche gesichert, aber das Spiel war wirklich nicht toll... zu vermerken ist das Juwel von Gomez, Kamara und Faye sehr gut, Gomez und Gronbaek interessant zusammen in einigen Situationen."
