comment_id,language,club,player,comment,comment_de,label
DE_0001,DE,bvb,Maximilian Beier,Das Beier keine Chance bekommt ist auch frech,Das Beier keine Chance bekommt ist auch frech,POSITIVE
DE_0002,DE,fcbayern,Joshua Kimmich,Kimmich is so cute 😍,Kimmich is so cute 😍,POSITIVE
DE_0003,DE,bayer04,Granit Xhaka,Xhaka>>>>>>>grimaldo,Xhaka>>>>>>>grimaldo,POSITIVE
DE_0004,DE,bayer04,Piero Hincapie,@pierohincapie war der beste,@pierohincapie war der beste,POSITIVE
DE_0005,DE,fch,Niklas Dorsch,Wahnsinn @niklasdorsch ❤️💙,Wahnsinn @niklasdorsch ❤️💙,POSITIVE
DE_0006,DE,vfb,Enzo Millot,Mega spiel vom @vfb Kopf hoch @atakrzr @cjfuehrich @jamieleweling @e.millot17 @angelo.stiller @e.demirovic29,Mega spiel vom @vfb Kopf hoch @atakrzr @cjfuehrich @jamieleweling @e.millot17 @angelo.stiller @e.demirovic29,POSITIVE
DE_0007,DE,bayer04,Edmond Tabsoba,Tabsoba war besser sorry,Tabsoba war besser sorry,POSITIVE
DE_0008,DE,vfb,Jamie Leweling,Lass doch Leweling drin und nimm undav raus hä,Lass doch Leweling drin und nimm undav raus hä,POSITIVE
DE_0009,DE,fcbayern,Jamal Musiala,Musiala of the future🔥🔥🔥,Musiala of the future🔥🔥🔥,POSITIVE
DE_0010,DE,bvb,Karim Adeyemi,We need more of Adeyemi,We need more of Adeyemi,POSITIVE
DE_0011,DE,bayer04,Florian Wirtz,Boni and Wirtz are Disastrous 👏🙌,Boni and Wirtz are Disastrous 👏🙌,POSITIVE
DE_0012,DE,fch,Paul Wanner,@paul_wanner_ Bitte nur einen einzigen Smiley du bist mein größtes Idol bitte,@paul_wanner_ Bitte nur einen einzigen Smiley du bist mein größtes Idol bitte,POSITIVE
DE_0013,DE,bayer04,Victor Boniface,Funniest footballer of the year @boniface_jrn 🙌,Funniest footballer of the year @boniface_jrn 🙌,POSITIVE
DE_0014,DE,fcbayern,Min-Jae Kim,Kim & upa = fantastic duo 🔥🔥🔥,Kim & upa = fantastic duo 🔥🔥🔥,POSITIVE
DE_0015,DE,fch,Leo Scienza,No Scienza No Party 👏,No Scienza No Party 👏,POSITIVE
DE_0016,DE,bayer04,Robert Andrich,Warum denn immer Andrich raus? Wir brauchen einen Abräumer auf der 6er Position. Geht nach hinten los. Dann doch lieber wieder Palacios anstatt Garcia.,Warum denn immer Andrich raus? Wir brauchen einen Abräumer auf der 6er Position. Geht nach hinten los. Dann doch lieber wieder Palacios anstatt Garcia.,POSITIVE
DE_0017,DE,vfb,Angelo Stiller,Stiller muss wieder auf die 6 und Roualt oder bald Zagadou mit Chabot in die IV dann ist alles wieder gut. Abhaken und nächste Woche weiter kämpfen. Forza VfB❤️🤍,Stiller muss wieder auf die 6 und Roualt oder bald Zagadou mit Chabot in die IV dann ist alles wieder gut. Abhaken und nächste Woche weiter kämpfen. Forza VfB❤️🤍,POSITIVE
DE_0018,DE,vfb,Jeff Chabot,Chabot hat viel gerettet.Auch führich hatte super Momente aber wieder mal zieht Deniz uns den Arsch vom Grill. Danke Deniz❤️,Chabot hat viel gerettet.Auch führich hatte super Momente aber wieder mal zieht Deniz uns den Arsch vom Grill. Danke Deniz❤️,POSITIVE
DE_0019,DE,bayer04,Lukas Hradecky,Und Hradecky 🙌❤️🖤,Und Hradecky 🙌❤️🖤,POSITIVE
DE_0020,DE,vfb,Anrie Chase,Das 3:3 war unnötig. Schlecht verteidigt. Von Spiel zu Spiel. Chase ist absolut 💯 klasse. Was für ein top Verteidiger,Das 3:3 war unnötig. Schlecht verteidigt. Von Spiel zu Spiel. Chase ist absolut 💯 klasse. Was für ein top Verteidiger,POSITIVE
DE_0021,DE,fcbayern,Leroy Sane,"INSANE STATS, proud of first place🔝❤️🤍 #MiaSanMia","INSANE STATS, proud of first place🔝❤️🤍 #MiaSanMia",POSITIVE
DE_0022,DE,bvb,Serhou Guirassy,Guirassy 🔥🖤💛,Guirassy 🔥🖤💛,POSITIVE
DE_0023,DE,vfb,Deniz Undav,Deniz Undav 😍 taca sere kurda ❤️☀️💚,Deniz Undav 😍 taca sere kurda ❤️☀️💚,POSITIVE
DE_0024,DE,fch,Patrick Mainka,Danke für die kickbase-Punkte und den Spieltagssieg @p_mainka @leo_scienza und adrian beck,Danke für die kickbase-Punkte und den Spieltagssieg @p_mainka @leo_scienza und adrian beck,POSITIVE
DE_0025,DE,vfb,Ermedin Demirovic,Undav als Stürmer katastrophal der ist einfach kein Stürmer bring Demirovic für ihn rein,Undav als Stürmer katastrophal der ist einfach kein Stürmer bring Demirovic für ihn rein,POSITIVE
DE_0026,DE,vfb,Fabian Rieder,"Hoffentlich darf Rieder auch mal wieder spielen, der ist zu gut für die Bank","Hoffentlich darf Rieder auch mal wieder spielen, der ist zu gut für die Bank",POSITIVE
