club,player,comment,post,caption,sentiment_score,sentiment,explanation
VfB,Alexander Nübel,"Silas fehlt halt enorm. Das hat man gerade gegen Real gesehen. Der hätte mindestens ein Tor gemacht, wenn er so viel Raum zur Verfügung gehabt hätte. Leweling konnte ja auch frei aufspielen, da er so viel Platz, wie in vielen Bundesliga-Spielen nicht, von Real eingeräumt bekommen hat. Die andere Sache ist halt, dass Nübel in jedem Spiel für ein oder zwei Patzer gut ist. Das kostet in der Championsleauge sicher Punkte, während es in der Bundesliga auch mal gut geht.Fazit: Ein selbstverschuldter Abgang eines Topspielers und das Setzen auf den falschen Torhüter, wird dazu führen, dass der VfB diese Saison wesentlich ofter struggeln wird, als letzte Saison.",https://www.instagram.com/p/DACLCHMsO-q/,DANKE! Danke für euren überragenden Support heute in Madrid! 🤝 Einfach nur STOLZ! 🙏#VfB #StuttgartInternational #UCL #RMAVfB #VfBStuttgart #GetragenVonStolz #VfBInsta #VfbStuttgart1893 #AusCannstatt,-1.0,NEGATIVE,"The comment directly criticizes Nübel by stating that he is prone to mistakes in each game, which may cost points in crucial matches like the Champions League. This indicates a negative sentiment toward Nübel's performance and decisions concerning player selections."
VfB,Alexander Nübel,"Mit Nübel im Tor leider nichts zu holen, ist leider so. 2 Dinger gehen auf ihn. Natürlich hält er auch mal den ein oder anderen, aber das reicht gegen Real nicht.",https://www.instagram.com/p/DACFeZpuIKu/,Schlusspfiff in Madrid! Wir werden für einen irren Fight nicht belohnt und verlieren die Partie gegen @realmadrid mit 3:1! Der zwischenzeitliche Ausgleich von @_denizundav reicht am Ende leider nicht. Dennoch unfassbar stolz! Was für ein Kampf! 💪#VfB #StuttgartInternational #UCL #RMAVfB #VfBStuttgart #GetragenVonStolz #VfBInsta #VfbStuttgart1893 #AusCannstatt,-1.0,NEGATIVE,"The comment expresses disappointment and criticism towards Alexander Nübel, stating that he is a reason for failure ('leider nichts zu holen') and attributing two goals directly to him ('2 Dinger gehen auf ihn'). The words imply that his performance is insufficient, especially against a strong team like Real, leading to a negative sentiment."
VfB,Alexander Nübel,"Absolut starke Leistung, Respekt! 👏🏽 Leider gehen Tor 2 und 3 auf Nübel's Kappe. Gerade beim 2. Tor muss er raus kommen und fausten. Aber er hat davor auch stark gehalten. So wurde man für den couragierten Auftritt leider nicht belohnt. Jetzt einfach den BVB weghauen und alles ist gut.",https://www.instagram.com/p/DACFeZpuIKu/,Schlusspfiff in Madrid! Wir werden für einen irren Fight nicht belohnt und verlieren die Partie gegen @realmadrid mit 3:1! Der zwischenzeitliche Ausgleich von @_denizundav reicht am Ende leider nicht. Dennoch unfassbar stolz! Was für ein Kampf! 💪#VfB #StuttgartInternational #UCL #RMAVfB #VfBStuttgart #GetragenVonStolz #VfBInsta #VfbStuttgart1893 #AusCannstatt,0.2,NEUTRAL,"The comment acknowledges Nübel's strong performance while also critiquing him for two specific goals against him. This mixed feedback reflects a neutral sentiment overall, as the appreciation for some of his plays balances out the criticism."
VfB,Alexander Nübel,Starke Leistung gegen die beste Mannschaft der Welt. Nübel und Undav herausragend in einem stark spielenden Team. Punkt wäre verdient gewesen. Das hat Appetit auf mehr gemacht.,https://www.instagram.com/p/DACFeZpuIKu/,Schlusspfiff in Madrid! Wir werden für einen irren Fight nicht belohnt und verlieren die Partie gegen @realmadrid mit 3:1! Der zwischenzeitliche Ausgleich von @_denizundav reicht am Ende leider nicht. Dennoch unfassbar stolz! Was für ein Kampf! 💪#VfB #StuttgartInternational #UCL #RMAVfB #VfBStuttgart #GetragenVonStolz #VfBInsta #VfbStuttgart1893 #AusCannstatt,1.0,POSITIVE,"The comment praises Alexander Nübel for his strong performance against a top team, highlighting him as outstanding and part of a strong team. Positive phrases like 'starke Leistung' and 'herausragend' clearly indicate admiration for Nübel."
VfB,Alexander Nübel,Fakt ist Nübel hat den Punkt verkackt,https://www.instagram.com/p/DACFeZpuIKu/,Schlusspfiff in Madrid! Wir werden für einen irren Fight nicht belohnt und verlieren die Partie gegen @realmadrid mit 3:1! Der zwischenzeitliche Ausgleich von @_denizundav reicht am Ende leider nicht. Dennoch unfassbar stolz! Was für ein Kampf! 💪#VfB #StuttgartInternational #UCL #RMAVfB #VfBStuttgart #GetragenVonStolz #VfBInsta #VfbStuttgart1893 #AusCannstatt,-1.0,NEGATIVE,"The comment explicitly states that Nübel 'has messed up the point,' indicating a clear criticism of his performance."
VfB,Alexander Nübel,"Man kann auch als „nicht Fan“ sagen, das war ein geiles Spiel. Real wusste teilweise nicht, wohin mit dem Fußball vom VfB und das hat man vor allem am Anfang gemerkt. 1:1 war mehr als verdient und das Gegentor aus der Standardsituation KANN passieren, das nächste mal steht man anders da, dann fällt das 2:1 nicht. 3:1 war unnötig, da war schätze ich Mittelstädt (glaube ich) im weg vom Blick von Nübel. Das Ergebnis spiegelt auf keinen Fall das Spiel wieder und deshalb ist es sehr schade. Das war meiner Meinung nach ein Spiel auf Augenhöhe, erste Halbzeit geht an den VfB, zweite an Real.",https://www.instagram.com/p/DACFeZpuIKu/,Schlusspfiff in Madrid! Wir werden für einen irren Fight nicht belohnt und verlieren die Partie gegen @realmadrid mit 3:1! Der zwischenzeitliche Ausgleich von @_denizundav reicht am Ende leider nicht. Dennoch unfassbar stolz! Was für ein Kampf! 💪#VfB #StuttgartInternational #UCL #RMAVfB #VfBStuttgart #GetragenVonStolz #VfBInsta #VfbStuttgart1893 #AusCannstatt,0.0,NEUTRAL,"The comment discusses the overall game and its dynamics without expressing a direct sentiment towards Alexander Nübel. While it mentions his involvement in the match, particularly regarding the goal conceded, it does not attribute blame or praise to him specifically, leading to a neutral sentiment."
VfB,Alexander Nübel,"Rüdiger ist bei mir ab heute abend auf der negativen Seite.  Mehr kann ich nicht sagen.  Nicht wegen dem Tor,  das hat Nübel verbockt. Ich mein das alles davor. Was für ein A.........",https://www.instagram.com/p/DACFeZpuIKu/,Schlusspfiff in Madrid! Wir werden für einen irren Fight nicht belohnt und verlieren die Partie gegen @realmadrid mit 3:1! Der zwischenzeitliche Ausgleich von @_denizundav reicht am Ende leider nicht. Dennoch unfassbar stolz! Was für ein Kampf! 💪#VfB #StuttgartInternational #UCL #RMAVfB #VfBStuttgart #GetragenVonStolz #VfBInsta #VfbStuttgart1893 #AusCannstatt,-1.0,NEGATIVE,"The comment refers negatively to Alexander Nübel, stating that he 'verbockt' (screwed up) the goal, indicating disappointment and frustration with his performance."
VfB,Alexander Nübel,Nübel Trauerspiel,https://www.instagram.com/p/DACFeZpuIKu/,Schlusspfiff in Madrid! Wir werden für einen irren Fight nicht belohnt und verlieren die Partie gegen @realmadrid mit 3:1! Der zwischenzeitliche Ausgleich von @_denizundav reicht am Ende leider nicht. Dennoch unfassbar stolz! Was für ein Kampf! 💪#VfB #StuttgartInternational #UCL #RMAVfB #VfBStuttgart #GetragenVonStolz #VfBInsta #VfbStuttgart1893 #AusCannstatt,-1.0,NEGATIVE,"The comment 'Nübel Trauerspiel' translates to 'Nübel tragic play', indicating a negative sentiment towards Alexander Nübel and suggesting disappointment or dissatisfaction with his performance."
VfB,Alexander Nübel,"Herr nübel 2 Torwart Fehler und maxi Fehler, die vergebenen Chancen, aber trotzdem klasse gespielt",https://www.instagram.com/p/DACFeZpuIKu/,Schlusspfiff in Madrid! Wir werden für einen irren Fight nicht belohnt und verlieren die Partie gegen @realmadrid mit 3:1! Der zwischenzeitliche Ausgleich von @_denizundav reicht am Ende leider nicht. Dennoch unfassbar stolz! Was für ein Kampf! 💪#VfB #StuttgartInternational #UCL #RMAVfB #VfBStuttgart #GetragenVonStolz #VfBInsta #VfbStuttgart1893 #AusCannstatt,0.0,NEUTRAL,"The comment mentions 'Herr Nübel' in relation to two goalkeeping errors, indicating a recognition of mistakes, but it also states 'trotzdem klasse gespielt', suggesting an overall acknowledgment of a good performance. This creates a neutral sentiment as the comment does not express a strong positive or negative feeling towards Nübel."
VfB,Alexander Nübel,Nicht den Fehler bei Nübel suchen. Es wurden einige eindeutige Torchancen nicht genutzt. War aber trotzdem bis kurz vor Ende ein super Spiel,https://www.instagram.com/p/DACFeZpuIKu/,Schlusspfiff in Madrid! Wir werden für einen irren Fight nicht belohnt und verlieren die Partie gegen @realmadrid mit 3:1! Der zwischenzeitliche Ausgleich von @_denizundav reicht am Ende leider nicht. Dennoch unfassbar stolz! Was für ein Kampf! 💪#VfB #StuttgartInternational #UCL #RMAVfB #VfBStuttgart #GetragenVonStolz #VfBInsta #VfbStuttgart1893 #AusCannstatt,0.0,NEUTRAL,"The comment mentions Nübel in a neutral context, stating not to blame him for the mistakes, suggesting a level of support. However, it does not express strong positive or negative sentiment towards him, making it overall neutral."
