club,player,comment,post,caption,sentiment_score,sentiment,explanation,translation
VfB,Alexander Nübel,Das nübel Stammtorwart in der natio sein soll auch bodenlos,https://www.instagram.com/p/DGqT6ETK7B4/,Ordentlich was los am morgigen Sonntag. Wir haben euch die wichtigsten Programmpunkte zusammengefasst! ⚪️🔴#VfB #Bundesliga #VfBStuttgart #VfBStuttgart1893 #ausCannstatt,-1.0,NEGATIVE,"The comment expresses frustration or disbelief regarding Nübel being the starting goalkeeper ('Stammtorwart') for the national team ('natio'). The term 'bodenlos' suggests a lack of justification or support for this choice, indicating a strong negative sentiment towards Nübel's inclusion.",That Nübel should be the starting goalkeeper in the national team is also outrageous.
VfB,Alexander Nübel,Warum spielt vagnoman? Seit Wochen schlecht. Raus damit. Zur Not haben wir noch Leute in der 2. Mannschaft. Und über nübel könnte man sich Mal nachdenken. Mit dem Pass zum 1:2 hat er die Niederlage mit eingeleitet.,https://www.instagram.com/p/DGocJg6MH4b/,"Schade. Wir verlieren unser Heimspiel gegen den FC Bayern München mit 1:3. Kopf hoch, Jungs aus Cannstatt! 🤝#VfB #Bundesliga #VfBStuttgart #VfBStuttgart1893 #ausCannstatt",-1.0,NEGATIVE,"The comment criticizes Nübel for his performance, specifically blaming him for contributing to a loss with a bad pass. This indicates a strongly negative sentiment towards him.","Why is Vagnoman playing? He's been bad for weeks. Get him out. If necessary, we still have people in the second team. And we could think about Nübel. With the pass to make it 1:2, he initiated the defeat."
VfB,Alexander Nübel,"… und ich will jetzt nicht hören, wenn der von Undav reingeht ist es ein anderes Spiel… das Schlimme ist, wir waren in Hälfte 1 tatsächlich besser, viel Aufwand, zuwenig Ertrag. Als Gegnermannschaft derzeit eigentlich easy. Lass den VfB mal machen, Kraft reicht eh nicht für 2 Hälften und individuelle Fehlerquote reicht locker für nen Punkt. Lieber Alex Nübel, das war gestern nix 🫣 es macht so grad nicht arg viel Spaß zum Zuschauen… schade",https://www.instagram.com/p/DGocJg6MH4b/,"Schade. Wir verlieren unser Heimspiel gegen den FC Bayern München mit 1:3. Kopf hoch, Jungs aus Cannstatt! 🤝#VfB #Bundesliga #VfBStuttgart #VfBStuttgart1893 #ausCannstatt",-0.7,NEGATIVE,"The comment expresses disappointment with Alexander Nübel's performance in the game, specifically stating 'das war gestern nix' (that was nothing yesterday) which is a strong criticism. The use of emojis like 🫣 also indicates frustration. The comment refers to his role as a goalkeeper and suggests that he contributed to a lackluster performance.","... and I don't want to hear if Undav's goal had gone in, it would have been a different game... the bad thing is, we were actually better in the first half, a lot of effort, too little reward. As opposing team currently actually easy. Let VfB do their thing, stamina is not enough for two halves and individual error rate is easily enough for a point. Dear Alex Nübel, that was nothing yesterday 🫣 it's not very fun to watch right now... what a shame."
VfB,Alexander Nübel,Meine Meinung zum Spiel:  Woltermade stark stiller gut kann beim 1:2 nix dafür nübel seine Schuld Mittelstädt gut Finn poa ist der gut wird der nächste Nationalspieler undav läuft wie Falschgeld Rum leider fehlt die lockeheit gerade leweling kann einem leid tun mit vagnoman der muss raus sonst Spielt leweling bald rechter Verteidiger so nimmst du ihn seine Stärke weg und wir machen noch zu viele Fehler leider aber noch ich finde die Leistung an sich wird besser wir müssen effektiver werden und unsere Chancen nutzen du gehst 3 mal in Führung und verlierst das Drei Mal Wolfsburg darf nicht passieren 1:1 wäre okay gewesen in Hoffenheim musst zur Halbzeit 4:0 führen trops gelutscht und gegen Bayern musst einfach die wenigen Chancen nutzen aber gegen die kannst verlieren aber nicht so und so bringst dich um deine Saison die nicht so schlecht ist wie teilweise gemacht wird die Ergebnisse müssen kommen gegen Kiel sind 3 Punkte Pflicht wenn du oben dabei bleiben möchtest,https://www.instagram.com/p/DGocJg6MH4b/,"Schade. Wir verlieren unser Heimspiel gegen den FC Bayern München mit 1:3. Kopf hoch, Jungs aus Cannstatt! 🤝#VfB #Bundesliga #VfBStuttgart #VfBStuttgart1893 #ausCannstatt",0.0,NEUTRAL,"The comment discusses the overall performance of the team and mentions Nübel in a context of blame for a specific goal. However, the focus is more on the team's performance rather than solely on Nübel, making the sentiment neutral.","My opinion on the game: Woltermade was strong, still good, can't be blamed for the 1:2, it's Nübel's fault. Mittelstädt is good, Finn Poa is good, will be the next national player, Undav is running like counterfeit money. Unfortunately, the looseness is missing right now, Leweling must feel sorry with Vagnoman, he has to go out or else Leweling will soon play right back, which takes away his strength, and we are still making too many mistakes. Unfortunately, I find the performance itself is getting better, we need to be more effective and use our chances. You go ahead 3 times and lose three times, Wolfsburg can't happen. 1:1 would have been fine. In Hoffenheim, you should lead 4:0 at halftime, it was a mess, and against Bayern you just have to use the few chances. You can lose against them, but not like this, and this way you ruin your season, which is not as bad as it's sometimes portrayed. The results need to come against Kiel; 3 points are a must if you want to stay up there."
VfB,Alexander Nübel,"Nübel und Vagnoman absolut nicht mehr tragbar. Der eine an zwei gegentoren direkt beteiligt und vom anderen will ich garnicht anfangen. Fazit: Wenn ihr nächste Saison vorne angreifen wollt, solltet ihr dringlichst auf diesen Positionen nachbessern. Danke und Gute Nacht",https://www.instagram.com/p/DGocJg6MH4b/,"Schade. Wir verlieren unser Heimspiel gegen den FC Bayern München mit 1:3. Kopf hoch, Jungs aus Cannstatt! 🤝#VfB #Bundesliga #VfBStuttgart #VfBStuttgart1893 #ausCannstatt",-1.0,NEGATIVE,"The comment criticizes Alexander Nübel, stating that he was directly involved in two opposing goals and suggests that he is not acceptable as a player for the team. This clearly indicates a negative sentiment towards him.","Nübel and Vagnoman are absolutely no longer bearable. One was directly involved in two opposing goals, and I don't even want to start talking about the other. Conclusion: If you want to attack next season, you should urgently improve these positions. Thank you and good night."
VfB,Alexander Nübel,Milli u dimi Wechsel für die Katz u mein Nübel mit seinen Abschlägen macht mich grille,https://www.instagram.com/p/DGocJg6MH4b/,"Schade. Wir verlieren unser Heimspiel gegen den FC Bayern München mit 1:3. Kopf hoch, Jungs aus Cannstatt! 🤝#VfB #Bundesliga #VfBStuttgart #VfBStuttgart1893 #ausCannstatt",-1.0,NEGATIVE,"The comment expresses frustration and criticism towards Nübel's performance, particularly mentioning his goal kicks ('Abschläge') and using the phrase 'macht mich grille' which indicates annoyance. The player is clearly referenced, and the sentiment is negative overall.",Milli and I changing for nothing and my Nübel with his goal kicks makes me annoyed.
VfB,Alexander Nübel,"Über Vagnoman braucht man echt nicht mehr reden! Aber was der Nübel da macht, fand ich teilweise noch schlimmer. Gegentor verschuldet und nahezu jeder Abschlag landet beim Gegner. Hätte Bayern einen besseren Tag erwischt, hätte Nübel uns 5 geschenkt.",https://www.instagram.com/p/DGocJg6MH4b/,"Schade. Wir verlieren unser Heimspiel gegen den FC Bayern München mit 1:3. Kopf hoch, Jungs aus Cannstatt! 🤝#VfB #Bundesliga #VfBStuttgart #VfBStuttgart1893 #ausCannstatt",-1.0,NEGATIVE,"The comment is explicitly critical of Alexander Nübel, stating he made mistakes that contributed to the team conceding goals and implying that he could have caused even more harm if the opposing team had performed better. Words like 'schlimmer' (worse) and the mention of conceding goals suggest a strong negative sentiment toward Nübel's performance.","You really don’t need to talk about Vagnoman anymore! But what Nübel is doing, I found even worse at times. He caused a goal and nearly every clearance lands with the opponent. If Bayern had had a better day, Nübel would have gifted us 5 goals."
VfB,Alexander Nübel,"Ich glaub wir sind das beste und schlechteste Team zu gleich was ich je gesehen hab. Wie mann so ein gutes Spiel machen kann, bloß um dann mit eigenen Fehler alles aber wirklich alles im Klo runter zuspülen ist echt krass. Von vagnoman hab ich jetzt wirklich echt genug gesehen, millot auch schon lange nicht mehr der von Beginn der Saison und wieso nübel gefühlt das halbe Spiel lang denn ball lang hammert ausser da wo jeder gedeckt ist, ist auch stark. Wiederum ist das 1:1 wahrscheinlich abseits, dess so länger das spiel ging dess so schlechter wurde der schiri und jeltsch, woltemade, Stiller und auch noch einige andere haben heute eigentlich ein solides Spiel gemacht. Es gibt jetzt für uns zwei Optionen entweder wir verkacken jetzt auch gegen Kiel und Rutschen so auf BVB Niveau ab, oder wir spielen so weiter wie wir es heute vorallem in der ersten Halbzeit getan haben und fangen endlich wieder an spiele zu gewinnen. Weil eigentlich kann man sich wenn man selber nicht so unfassbar dumm gewesen wäre, heute nur wenig vor werfen. AUF GEHT'S VFB wir reisen uns jetzt endlich mal wieder zusammen und fangen endlich wieder das Siegen an ⚪️🔴",https://www.instagram.com/p/DGocJg6MH4b/,"Schade. Wir verlieren unser Heimspiel gegen den FC Bayern München mit 1:3. Kopf hoch, Jungs aus Cannstatt! 🤝#VfB #Bundesliga #VfBStuttgart #VfBStuttgart1893 #ausCannstatt",-0.5,NEGATIVE,"The comment criticizes Nübel's performance, specifically mentioning his habit of kicking the ball long to covered players. This indicates disappointment in his abilities during the game. Overall sentiment is hurt by the frustration expressed about the team’s performance, and Nübel is singled out for specific criticism, suggesting his contribution is seen negatively.","I think we are the best and worst team at the same time that I have ever seen. How you can play such a good game only to completely throw everything down the toilet with your own mistakes is really crazy. I've really had enough of Vagnoman, Millot hasn't been seen since the beginning of the season, and why Nübel feels like he just hammers the ball long for half the game except where everyone is covered is also strong. Again, the 1-1 is probably offside, as the longer the game went, the worse the referee became. Jeltsch, Woltemade, Stiller, and several others actually played a solid game today. Now we have two options: either we screw up against Kiel as well and drop down to BVB level, or we continue like we did today, especially in the first half, and finally start winning games again. Because, really, if we hadn’t been so unbelievably stupid today, there’s not much we can blame ourselves for. LET'S GO VFB, let's finally get it together and start winning again ⚪️🔴."
VfB,Alexander Nübel,Vagnoman bester RV und Nübel zukünftiger DFB Torhüter 🔥😂,https://www.instagram.com/p/DGocJg6MH4b/,"Schade. Wir verlieren unser Heimspiel gegen den FC Bayern München mit 1:3. Kopf hoch, Jungs aus Cannstatt! 🤝#VfB #Bundesliga #VfBStuttgart #VfBStuttgart1893 #ausCannstatt",1.0,POSITIVE,"The comment expresses a positive opinion about Alexander Nübel's potential as a future goalkeeper for the national team, which is indicated by the phrase 'Nübel zukünftiger DFB Torhüter' (Nübel future DFB goalkeeper) and is reinforced by the use of positive emojis (🔥😂).",Vagnoman best right-back and Nübel future DFB goalkeeper 🔥😂
VfB,Alexander Nübel,"Liebe vfb Fans, bitte hört auf mit den Nübel Gesängen. Dieser Mann hat einen Größenwahn entwickelt und überschätzt seine unterdurchschnittlichen Qualitäten maßlos. Von Vagnoman brauchen wir nicht reden, der Herr braucht eine Auszeit, er hat an sich das Potenzial großes zu leisten kann es aktuell aber nicht. Aber was Nübel angeht müssen wir einen Schlussstrich ziehen. Er hat heute und in vielen anderen Spielen bereits Harakiri gespielt und heute wurde es bestraft. Irgendwann reicht es.",https://www.instagram.com/p/DGocJg6MH4b/,"Schade. Wir verlieren unser Heimspiel gegen den FC Bayern München mit 1:3. Kopf hoch, Jungs aus Cannstatt! 🤝#VfB #Bundesliga #VfBStuttgart #VfBStuttgart1893 #ausCannstatt",-1.0,NEGATIVE,"The comment expresses strong disapproval of Alexander Nübel's performance and attitude, indicating that he overestimates his abilities and has made significant mistakes in games, referring to it as 'Harakiri.' This shows a clear negative sentiment towards the player.","Dear VfB fans, please stop with the Nübel chants. This man has developed megalomania and grossly overestimates his below-average qualities. We don't need to talk about Vagnoman; the man needs a break. He has the potential to achieve great things but currently cannot do it. But when it comes to Nübel, we need to draw a line. He has played 'Harakiri' today and in many other games, and today it was punished. At some point, it's enough."
