club,player,comment,post,caption,sentiment_score,sentiment,explanation
arsenal,Kai Havertz,Look at Havertz movement! What a player👌,https://www.instagram.com/reel/DA1FUsHu5T7/,und,1.0,POSITIVE,"The comment expresses admiration for Kai Havertz's movement and describes him as 'a player,' indicating a positive sentiment towards him. The use of the thumbs up emoji (👌) further emphasizes this positive sentiment."
arsenal,Kai Havertz,If Martinelli can click like Saka andHavertz …..Arsenal will win the league,https://www.instagram.com/reel/DA1FUsHu5T7/,und,0.0,NEUTRAL,"The comment mentions Kai Havertz in a conditional context along with Martinelli and Saka, suggesting a potential positive outcome for Arsenal if all players perform well. However, it does not directly express a positive or negative sentiment towards Havertz himself; therefore, the sentiment is neutral."
arsenal,Kai Havertz,Havertz is soo intelligent 😭😂. See what he did with the player man marking him allowing enough space for the ball to be thrown to a free player😂,https://www.instagram.com/reel/DA1FUsHu5T7/,und,1.0,POSITIVE,"The comment praises Kai Havertz's intelligence on the field and highlights a specific play he made, which shows admiration for his skills. The use of multiple emojis indicates a positive and light-hearted tone."
arsenal,Kai Havertz,Havertz 👏🔥👑🙌👍😎💯💪💪💪💪💪,https://www.instagram.com/reel/DAx5PsGuPM8/,und,1.0,POSITIVE,"The comment is highly positive, using multiple emojis that indicate admiration and approval towards Kai Havertz. The emojis like 👏 (clapping), 🔥 (fire), 👑 (crown), and others suggest strong support and excitement about the player."
arsenal,Kai Havertz,The way all the players celebrate show how close theirfriendship within the team. I like the way Havertz show his appreciation to Saka.👏👏👏,https://www.instagram.com/reel/DAwb2cIuVYm/,und,1.0,POSITIVE,The comment expresses a positive sentiment towards Kai Havertz by highlighting his appreciation for Saka and the camaraderie within the team. The use of applauding emojis further emphasizes the positive tone.
arsenal,Kai Havertz,Havertz🔥,https://www.instagram.com/p/DAv5FACo1wk/,Coming from behind to win together! 👊,1.0,POSITIVE,"The comment contains a direct mention of Kai Havertz with a fire emoji (🔥), which typically conveys enthusiasm and positivity towards the player."
arsenal,Kai Havertz,Havertz king❤️,https://www.instagram.com/p/DAv1WEAuG59/,Back in it! 👊Kai Havertz nets his seventh Emirates Stadium goal in a row to equalise 👏,1.0,POSITIVE,"The comment expresses a strong positive sentiment towards Kai Havertz by referring to him as 'king' and includes a heart emoji, indicating admiration."
arsenal,Kai Havertz,Havertz become good extremely He isn't the same as last year,https://www.instagram.com/p/DAvjCR_OsFM/,"🔴 𝗧𝗘𝗔𝗠𝙉𝙀𝙒𝙎 ⚪️👊 Gabriel at the back ☑️ Sterling’s first PL start  ⚡ Jesus leads the lineLet’s take it to the next level, Gunners!",0.5,POSITIVE,"The comment indicates that Havertz has improved significantly compared to the previous year, suggesting a positive change in his performance. The phrase 'Havertz become good extremely' directly reflects a positive sentiment towards him."
arsenal,Kai Havertz,Kai Havertz scores again 🎶,https://www.instagram.com/reel/DAoYyLRtveY/,Putting us ahead in style 👏A front row seat for Kai’s opener 🤳,1.0,POSITIVE,"The comment mentions Kai Havertz positively celebrating his achievement of scoring again, indicated by the use of the word 'scores' and the cheerful emoji."
arsenal,Kai Havertz,Havertz,https://www.instagram.com/p/DAn27ZftExQ/,"It’s time to choose your September Player of the Month, Gooners 🏅Head to our IG Stories to vote 🗳️Here are your nominees…Gabriel:Our defender was a huge goal threat in September, and managed to claim the derby day spoils with his header at the Tottenham Hotspur Stadium to clinch a famous 1-0 win. He then followed that up with another header at Manchester City to help us to a 2-2 draw at the home of the champions.That was coupled with his excellent defensive duties, keeping clean sheets against Spurs and at Atalanta in our Champions League opener to ensure we ended the month unbeaten.David Raya:Our shot-stopper’s excellent start to the season continued as he followed up his Premier League Save of the Month win by making another incredible stop to save a penalty and the follow up against Atalanta to help us to a valuable point by yet again keeping his sheet clean.That was something he achieved at Spurs as well to take his tally in all competitions up to four by the end of September, while he made a string of good stops at the Etihad Stadium during a second-half barrage to ensure we left we a share of the spoils.William Saliba:The Frenchman continues to be imperious at the back alongside Gabriel, with their partnership perhaps the most effective in the Premier League. That was the case in the north London derby where Willo helped shackle Spurs and keep them from scoring.That was also the case out in Italy when we kept Atalanta at bay, and then William was part of a huge defensive effort that frustrated Manchester City on our way to a famous draw.Bukayo Saka:Last month’s winner carried his form into September by swinging over the two corners that allowed Gabriel to net against Tottenham and City, ensuring he levelled the Premier League record for assisting in each of the first five matches of a campaign, drawing level with Thierry Henry.Bukayo was also handed the captain’s armband for the games against City and Leicester, and played a key role in our late win against the Foxes where his corner led to Wilfred Ndidi’s own goal that saw us edge back in front.",0.0,NEUTRAL,The comment only contains the name 'Havertz' without any positive or negative context. It does not express any opinion towards the player.
arsenal,Kai Havertz,❤️❤️❤️ Kai Havertz,https://www.instagram.com/p/DAnGUr6IKpe/,🥁 Introducing last night's POTM against PSG as voted by you... An all-action display from Kai ✊,1.0,POSITIVE,"The comment expresses a strong positive sentiment through the use of three heart emojis, indicating affection for Kai Havertz."
arsenal,Kai Havertz,Thanks @kaihavertz29,https://www.instagram.com/p/DAmOA8tNws6/,Kai Havertz scores again 👑,1.0,POSITIVE,"The comment 'Thanks @kaihavertz29' expresses gratitude towards the player, indicating a positive sentiment."
arsenal,Kai Havertz,Kai Havertz POTM,https://www.instagram.com/reel/DAmJchYOMRP/,und,1.0,POSITIVE,"The comment clearly expresses a positive sentiment towards Kai Havertz by stating he is 'POTM' (Player of the Month), which is a commendation and suggests high praise for his performances."
arsenal,Kai Havertz,Kai Havertz scoring his first Arsenal goal 🥰,https://www.instagram.com/reel/DAiDk3sI0tE/,🗓️ One year ago today... Kai Havertz scored his first Arsenal goal 🥰,1.0,POSITIVE,"The comment expresses excitement and happiness about Kai Havertz scoring his first goal for Arsenal, with the heart-eyes emoji indicating strong positive sentiment."
arsenal,Kai Havertz,Havertz seals all three points 🤩,https://www.instagram.com/reel/DAgBXOQIUZ1/,Havertz seals all three points 🤩,1.0,POSITIVE,"The comment expresses a positive sentiment towards Kai Havertz by stating he 'seals all three points,' implying a significant and successful contribution to the team's victory. The use of the excited emoji (🤩) further emphasizes the positive sentiment."
arsenal,Kai Havertz,"That was one of my most emotional games ever cuz trossard, martinelli and havertz are my favs😢👏",https://www.instagram.com/p/DAeTmBPuHlI/,Persistence. Bravery. Class. Leo - our POTM from today’s last-gasp triumph 🤩,0.5,POSITIVE,"The comment expresses positive emotions about the game and includes Kai Havertz as one of the favorite players, implying a favorable sentiment towards him."
arsenal,Kai Havertz,Arteta need to learn..we can’t be watching kai Havertz for the whole useless90min,https://www.instagram.com/p/DAdzP2YtFXz/,"Exert every effort, Gunners 💪",-1.0,NEGATIVE,"The comment expresses frustration with Kai Havertz's performance, suggesting he was 'useless' throughout the match. This indicates a negative sentiment towards the player."
arsenal,Kai Havertz,Havertz 🔥🔥,https://www.instagram.com/p/DAdpasTNu0c/,Ready to roll.,1.0,POSITIVE,"The comment uses fire emojis (🔥🔥) which indicate strong approval and excitement towards Kai Havertz, suggesting a very positive sentiment."
arsenal,Kai Havertz,🎶 Kai Havertz scored again 🎶,https://www.instagram.com/reel/DAYp3tXIOtj/,🎶 Kai Havertz scored again 🎶,1.0,POSITIVE,"The comment celebrates Kai Havertz scoring, indicating a positive sentiment towards him. The exclamation and use of musical emojis also enhance the positivity."
arsenal,Kai Havertz,"Kai havertz tackling Ruben Dias, true passion",https://www.instagram.com/p/DAQpXNgoIdE/,Relish it ✊The best images from yesterday’s hard-fought draw in Manchester 📸,1.0,POSITIVE,"The comment expresses admiration for Kai Havertz, highlighting his tackling of Ruben Dias as an example of 'true passion.' This shows a positive view towards Havertz."
arsenal,Kai Havertz,"Joachim low era el dt señores , son un equipo junior tienen miedo a atacar al veces estoy viendo el partido havertz no esta para el arsenal,  recogen sobras de otro club. Vayan por wirtz musiala , mghalaes no es un buen central",https://www.instagram.com/p/DAMD8lTttTu/,Tomorrow 👊,-1.0,NEGATIVE,The comment criticizes Kai Havertz by stating he is not suitable for Arsenal and implies he is not performing well. The phrase 'havertz no esta para el arsenal' directly conveys a negative sentiment towards the player.
arsenal,Kai Havertz,"Time to go Thomas Party, Havertz, Giovani, 🔥",https://www.instagram.com/p/DABVcgsNvZP/,The Arsenal. Our 2024/25 squad.,0.5,POSITIVE,The comment mentions Havertz positively in a list of players alongside an emoji that conveys excitement or approval ('🔥'). The phrase 'Time to go' seems to be enthusiastic rather than disparaging.
arsenal,Bukayo Saka,that assist to saka against Bayern in ucl🔥,https://www.instagram.com/reel/DA2p9CztRo2/,"Happy birthday, Benjamin! ❤️",1.0,POSITIVE,"The comment praises Bukayo Saka for his assist in a positive manner, indicated by the use of fire emoji (🔥), which suggests excitement and admiration."
arsenal,Bukayo Saka,That Saka-Martinelli connection 🤩,https://www.instagram.com/reel/DA1FUsHu5T7/,und,1.0,POSITIVE,"The comment expresses admiration for the connection between Bukayo Saka and his teammate Martinelli, indicated by the positive emoji (🤩). This highlights Saka's contribution and praises his performance."
arsenal,Bukayo Saka,Saka is world class easily,https://www.instagram.com/reel/DA1FUsHu5T7/,und,1.0,POSITIVE,"The comment expresses a strong positive sentiment towards Bukayo Saka, declaring him 'world class', which indicates high praise and admiration for his skills and performance."
arsenal,Bukayo Saka,"Its all perfection, Martinelli run timing and finishing, Saka assist accuracy, 🔥",https://www.instagram.com/reel/DA1FUsHu5T7/,und,1.0,POSITIVE,The comment praises Saka's assist accuracy as part of a positive assessment of the play involving him and Martinelli. The use of the fire emoji further emphasizes enthusiasm and positivity.
arsenal,Bukayo Saka,SakaNelli🔥!!!,https://www.instagram.com/reel/DA1FUsHu5T7/,und,1.0,POSITIVE,"The comment includes the name 'Saka' and a flame emoji, which typically indicates enthusiasm or excitement. The use of '🔥' suggests a positive sentiment towards Bukayo Saka, so the comment is rated positively."
arsenal,Bukayo Saka,If Martinelli can click like Saka andHavertz …..Arsenal will win the league,https://www.instagram.com/reel/DA1FUsHu5T7/,und,0.5,POSITIVE,"The comment references Bukayo Saka positively, indicating that his performance is seen as a benchmark for Martinelli and Havertz. The phrase 'if Martinelli can click like Saka' suggests admiration for Saka's abilities."
