club,player,comment,post,caption,sentiment_score,sentiment,explanation,translation
cfc,Cole Palmer,It's PALMER time..,https://www.instagram.com/p/DAi-hkSs-BP/,Our #UECL campaign begins on Thursday. 🤩,1.0,POSITIVE,"The comment expresses excitement and positivity towards Cole Palmer, indicating a favorable sentiment. The phrase 'It's PALMER time' suggests that the commenter is looking forward to something positive involving him.",It's PALMER time..
cfc,Cole Palmer,I Dey wonder why Palmer no go play 🙂‍↕️🙂‍↕️,https://www.instagram.com/p/DAi-hkSs-BP/,Our #UECL campaign begins on Thursday. 🤩,0.0,NEUTRAL,"The comment expresses confusion or curiosity about why Palmer is not playing, but it does not convey a strong positive or negative sentiment towards him. The use of the emojis seems to add a lighthearted tone rather than a critical one.",I wonder why Palmer doesn't play.
cfc,Cole Palmer,Don't play palmer,https://www.instagram.com/p/DAi-hkSs-BP/,Our #UECL campaign begins on Thursday. 🤩,-1.0,NEGATIVE,"The comment expresses a clear disapproval of Cole Palmer playing, indicating a negative sentiment towards him.",Don't play Palmer.
cfc,Cole Palmer,Palmer will get us up there.,https://www.instagram.com/p/DAi-hkSs-BP/,Our #UECL campaign begins on Thursday. 🤩,1.0,POSITIVE,"The comment expresses a positive sentiment towards Cole Palmer, indicating belief in his ability to contribute to the team's success.",Palmer will get us up there.
cfc,Cole Palmer,No palmer🙂‍↕️,https://www.instagram.com/p/DAi-hkSs-BP/,Our #UECL campaign begins on Thursday. 🤩,-1.0,NEGATIVE,The comment 'No palmer' suggests a rejection or disapproval of Cole Palmer. The inclusion of the emoji can imply a dismissive or indifferent attitude towards him.,No palmer
cfc,Cole Palmer,No palmer... WHYYYY😢,https://www.instagram.com/p/DAi-hkSs-BP/,Our #UECL campaign begins on Thursday. 🤩,-1.0,NEGATIVE,"The comment implies disappointment and frustration with Cole Palmer's actions or presence, as indicated by the use of 'WHYYYY' and the sad emoji. This strongly suggests a negative sentiment towards the player.",No Palmer... WHY😢
cfc,Cole Palmer,Unfortunately no palmer show.. this team is exciting to watch in all competitions. Each competition would have different heroes.. Amazing bunch of lads. Chelsea forever💙,https://www.instagram.com/p/DAi-hkSs-BP/,Our #UECL campaign begins on Thursday. 🤩,0.0,NEUTRAL,"The comment mentions Cole Palmer but does so in a context that does not convey a strong opinion, positive or negative, about him directly. While it expresses enthusiasm about the team, it does not comment specifically on Palmer's performance.",Unfortunately no Palmer show.. this team is exciting to watch in all competitions. Each competition would have different heroes.. Amazing bunch of lads. Chelsea forever💙
cfc,Cole Palmer,Palmer 💙,https://www.instagram.com/reel/DAeeGloskii/,The boy is a genius. 💫#CHEBHA #CFC #ChelseaFC #PremierLeague,1.0,POSITIVE,"The comment includes a blue heart emoji alongside the player's name, indicating positive sentiment and affection towards Cole Palmer.",Palmer 💙
cfc,Cole Palmer,Mr cord palmer🙌🙌 again 💙,https://www.instagram.com/reel/DAeeGloskii/,The boy is a genius. 💫#CHEBHA #CFC #ChelseaFC #PremierLeague,1.0,POSITIVE,"The comment refers positively to Cole Palmer by calling him 'Mr cord palmer' and using celebratory emojis (🙌🙌) and a blue heart (💙), which indicates admiration or love for him.",Mr. Cord Palmer again!
cfc,Cole Palmer,"Congratulations Cole Palmer, do it again, again, again, again ❄️❄️❄️",https://www.instagram.com/p/DAdxcbkMVZp/,und,1.0,POSITIVE,"The comment expresses excitement and encouragement for Cole Palmer, using the phrase 'do it again, again, again, again' which indicates a strong positive sentiment towards him. The use of emojis adds to the celebratory tone.","Congratulations Cole Palmer, do it again, again, again, again ❄️❄️❄️"
cfc,Cole Palmer,"The problem with many football fans is a lack of patience. Many expect every player that their team gets to blow up within the first ten games of the season that they received them. Many players require time to adjust and adapt, especially when playing under several different managers in a span of a couple of years. Not every player is Hazard or Palmer in terms of adaptation.",https://www.instagram.com/p/DAkju0xs2QJ/,🇪🇸 Cucu has started the season in phenomenal form! 😤,0.0,NEUTRAL,"The comment discusses the patience needed for players to adapt to their teams and mentions Cole Palmer in a comparative context. It does not express a clear sentiment towards Palmer himself, remaining neutral in tone.","The problem with many football fans is a lack of patience. Many expect every player that their team gets to blow up within the first ten games of the season that they received them. Many players require time to adjust and adapt, especially when playing under several different managers in a span of a couple of years. Not every player is Hazard or Palmer in terms of adaptation."
cfc,Cole Palmer,Currently palmer is the backbone of Chelsea,https://www.instagram.com/reel/DAjU6Xcsbv-/,•,1.0,POSITIVE,"The comment praises Cole Palmer by stating that he is the 'backbone' of Chelsea, which implies he is a crucial and supportive player for the team. This conveys a positive sentiment towards him.","Currently, Palmer is the backbone of Chelsea."
cfc,Cole Palmer,Bruh had to roast Jackson in the end! @manraj_music Palmer 100 though XD,https://www.instagram.com/reel/DAjU6Xcsbv-/,•,1.0,POSITIVE,"The comment expresses a positive sentiment towards Cole Palmer, indicating that the speaker has a strong favorable opinion of him, as shown by the 'Palmer 100 though XD' part. The roasting of Jackson does not detract from this sentiment towards Palmer.",Dude had to roast Jackson in the end! Palmer 100 though XD
cfc,Cole Palmer,Cold palmer 🙌🏾🙌🏾,https://www.instagram.com/reel/DAjU6Xcsbv-/,•,0.0,NEUTRAL,"The comment plays on the name 'Cold Palmer' which could be interpreted as a nickname or descriptor, but it does not convey a clear positive or negative sentiment towards Cole Palmer. The use of the clapping emojis can be seen as supportive or celebratory, but it does not provide enough context for a positive sentiment.",Cold palmer 🙌🏾🙌🏾
cfc,Cole Palmer,Next goat cole palmer 🔥,https://www.instagram.com/reel/DAjU6Xcsbv-/,•,1.0,POSITIVE,"The comment positively refers to Cole Palmer by calling him the 'next goat', which implies that the commenter believes he is on track to becoming one of the greatest players. The flame emoji also adds to the enthusiasm and positivity towards him.",Next goat Cole Palmer 🔥
cfc,Cole Palmer,Palmer🔥,https://www.instagram.com/reel/DAjU6Xcsbv-/,•,1.0,POSITIVE,The use of the fire emoji (🔥) indicates enthusiasm and admiration for Cole Palmer. The comment is clearly supportive and expresses a positive sentiment towards the player.,Palmer🔥
cfc,Cole Palmer,It’s the way Cole Palmer drifted into midfield position from an attacking position to make this sublime pass for me.. if you watched the earlier build up play. His football IQ is on 💯✅🫡,https://www.instagram.com/reel/DAjU6Xcsbv-/,•,1.0,POSITIVE,"The comment praises Cole Palmer's ability to drift into midfield and make a great pass, indicating high admiration for his football intelligence. The use of emojis, such as 💯 and ✅, further emphasizes the positive sentiment. The entire comment reflects appreciation towards his skills and contributions on the field.",It’s the way Cole Palmer drifted into midfield position from an attacking position to make this sublime pass for me.. if you watched the earlier build-up play. His football IQ is on 💯✅🫡.
cfc,Cole Palmer,Cool palmer🥶,https://www.instagram.com/reel/DAjU6Xcsbv-/,•,0.0,NEUTRAL,"The comment seems to be neutral; it doesn't express strong feelings of approval or disapproval towards Cole Palmer. 'Cool' can imply a positive trait, but it lacks context. The emoji, 😶‍🌫️, could suggest a vague feeling without clear sentiment.",Cool Palmer🥶
cfc,Cole Palmer,Thank you Cole Palmer for restoring  the pride of London! 🥶💙👏🏿I am beginning to recognise my Club again!!!,https://www.instagram.com/reel/DAjU6Xcsbv-/,•,1.0,POSITIVE,"The comment expresses gratitude towards Cole Palmer for restoring pride, indicating a strong positive sentiment. The use of emojis also enhances the positivity. The phrase 'I am beginning to recognise my Club again' suggests a revival in support and satisfaction with the player's contribution.",Thank you Cole Palmer for restoring the pride of London! 🥶💙👏🏿I am beginning to recognise my Club again!!!
cfc,Cole Palmer,Thank God for Palmer 👏,https://www.instagram.com/reel/DAjU6Xcsbv-/,•,1.0,POSITIVE,"The comment expresses gratitude towards Cole Palmer, indicated by the phrase 'Thank God for Palmer,' which shows a favorable sentiment. The clap emoji further emphasizes appreciation.",Thank God for Palmer 👏
cfc,Cole Palmer,Palmer is gifted...👏,https://www.instagram.com/reel/DAjU6Xcsbv-/,•,1.0,POSITIVE,"The comment expresses admiration for Cole Palmer by stating he is 'gifted,' which indicates a very positive sentiment towards him. The clapping emoji further emphasizes the praise.",Palmer is gifted...👏
cfc,Cole Palmer,Since Jackson know he met Keeper earlier at him back nobody dey post just put the ball leg immediately 😹😹 football easy na him dey always stress am palmer dey always make an easy,https://www.instagram.com/reel/DAjU6Xcsbv-/,•,0.0,NEUTRAL,"The comment mentions Cole Palmer in a neutral context, discussing the player's performance without expressing a clear positive or negative sentiment. The tone seems casual and playful, but overall lacks strong positive or negative emphasis. The emojis add a lighthearted touch but do not affect the sentiment toward Palmer significantly.","Since Jackson knew he met the Keeper earlier, nobody is posting; he should just put the ball in immediately 😹😹 football is easy, but he always stresses it out; Palmer always makes it easy."
cfc,Cole Palmer,Cold Palmer makes me believe in Chelsea again,https://www.instagram.com/reel/DAjU6Xcsbv-/,•,1.0,POSITIVE,The comment expresses a positive sentiment towards Cole Palmer by stating that he inspires belief in Chelsea. The phrase 'makes me believe in Chelsea again' shows appreciation and hope linked to his performance.,Cold Palmer makes me believe in Chelsea again
cfc,Cole Palmer,Lionel palmer???. 😂 are u ok?? Stupid question..,https://www.instagram.com/reel/DAjU6Xcsbv-/,•,-1.0,NEGATIVE,"The comment is dismissive of the question about Cole Palmer, implying that the questioner is not intelligent for asking it. This indicates a negative sentiment towards the idea of questioning Palmer's capabilities.",Lionel Palmer???. 😂 are you okay?? Stupid question..
cfc,Cole Palmer,🥶 palmer 😍😍😍😍😍💙💙💙,https://www.instagram.com/reel/DAjU6Xcsbv-/,•,1.0,POSITIVE,The use of heart and love emojis (😍💙💙) indicates a strong positive sentiment towards Cole Palmer. The comment expressing admiration towards him suggests enthusiasm and affection.,🥶 Palmer 😍😍😍😍😍💙💙💙
cfc,Cole Palmer,Palmer is something ele 🥶,https://www.instagram.com/reel/DAjU6Xcsbv-/,•,0.5,POSITIVE,The phrase 'Palmer is something else' suggests admiration or a strong positive impression of Cole Palmer. The use of the ice emoji 🥶 may denote that he is impressive or cool in some way.,Palmer is something else 🥶
cfc,Cole Palmer,🥶 Palmer is World Class!🔥,https://www.instagram.com/reel/DAjU6Xcsbv-/,•,1.0,POSITIVE,"The comment expresses a strong admiration for Cole Palmer, describing him as 'World Class' which conveys a very positive sentiment. The use of the emojis (🥶 and 🔥) enhances the enthusiasm towards the player.",Palmer is World Class!
cfc,Cole Palmer,Gold palmer,https://www.instagram.com/reel/DAjU6Xcsbv-/,•,0.0,NEUTRAL,"The comment refers to 'Gold Palmer,' which is an ambiguous phrase that does not clearly express a positive or negative sentiment towards Cole Palmer. It could imply appreciation, but it lacks context to affirm a strong sentiment. Therefore, it is neutral.",Gold Palmer
cfc,Cole Palmer,Skibidi Palmer 💙🥶,https://www.instagram.com/reel/DAjU6Xcsbv-/,•,0.0,NEUTRAL,"The comment uses playful language and emojis, but it does not express a clear positive or negative sentiment towards Cole Palmer. The term 'Skibidi' appears to be more of a nickname or reference rather than a sentiment indicator.",Skibidi Palmer 💙🥶
cfc,Cole Palmer,Palmer is unreal,https://www.instagram.com/reel/DAjU6Xcsbv-/,•,1.0,POSITIVE,"The comment expresses admiration for Cole Palmer by stating he is 'unreal', which indicates a very positive sentiment towards the player.",Palmer is unreal
cfc,Cole Palmer,Palmer is unreal and this is just his second season in senior football just imagine years ahead what he would become? this genius singlehandedly rehabilitated Chelsea 🙏but nobody is thanking Mr Boehly for this insightful bargain???,https://www.instagram.com/reel/DAjU6Xcsbv-/,•,1.0,POSITIVE,"The comment expresses strong admiration for Cole Palmer, highlighting his potential and contributions to Chelsea. The use of 'unreal' and 'genius' are particularly positive descriptors, indicating a very favorable view of the player's abilities.",Palmer is unreal and this is just his second season in senior football just imagine years ahead what he would become? this genius singlehandedly rehabilitated Chelsea 🙏but nobody is thanking Mr Boehly for this insightful bargain???
cfc,Cole Palmer,Best player in the world after Messi 😍🥶. @colepalmer10,https://www.instagram.com/reel/DAjU6Xcsbv-/,•,1.0,POSITIVE,"The comment refers directly to Cole Palmer and expresses a strong positive sentiment by calling him 'the best player in the world after Messi', indicating high praise. The use of emojis 😍 and 🥶 further emphasizes admiration and excitement.",Best player in the world after Messi 😍🥶. @colepalmer10
cfc,Cole Palmer,Palmer to my lest beret💙,https://www.instagram.com/reel/DAjU6Xcsbv-/,•,0.0,NEUTRAL,The comment includes a playful reference to Cole Palmer but does not express a clear positive or negative sentiment towards him. The emoji adds a touch of affection but does not significantly tilt the sentiment in either direction.,Palmer to my left beret💙
